is_lesson,paragraph
0,"Incremental cash flows earned by DISCOMs from project assets were estimated based on the methodology and assumptions described above. As noted above, sustainable incremental revenue is earned as a consequence of:"
0,"Increased irrigation water would allow farmers to grow paddy which yields higher income than corn. Table 9 compares the paddy and corn budgets in the appraisal with the updated budgets used in this evaluation. The figures are in 2009 price level and financial values. In the economic analysis, the financial figures are converted to economic values using appropriate conversion factors. Table 9: Paddy and Corn Budgets in Financial Value (million IDR/ha) a Source: Data dikutip dari Publikasi Statistik Indonesia (2013). Prices are deflated to 2009 price level."
1,"Procurement of the EPC contract took nearly 3 years because EVN was unfamiliar with the two-stage two-envelope bidding procedures. The ADB country partnership strategy (2012– 2015) final review also notes that greater emphasis is needed on investing enough time and resources in the preparation of projects.13 This includes greater upstream work on preparing technical designs and cost estimates, ensuring procurement packages and bidding documents are correct, and ensuring that executing agencies have sufficient capacity to reduce implementation delays."
0,"Uzbekistan’s Poverty Reduction and Welfare Improvement Strategy1 identified the access to safer water and sanitation as a means for economic development and poverty reduction. The government intended to reach, within the next decade, 100% service coverage in urban areas and 85% in rural areas, which was backed by a policy framework and a sector investment plan for $2.9 billion by 2020.2 The Asian Development Bank (ADB) aligned the Water Supply and Sanitation Services Investment Program with the national water supply and sanitation policy framework calling for greater institutional effectiveness, better service performance and management, improved operational and commercial efficiencies, higher cost recovery rates, and tighter financial controls."
0,"As to audit reports, the initial project agreements signed between ADB and PFIs, did not specifically require the submission to ADB of a reasonable assurance audit report for the project, loan proceeds, and covenants. Back then (2014–2015), the audited project financial statements (APFS) submitted by PMU-GAF was initially accepted. In 2016, the project agreements with PFIs were amended to require the submission of said audit reports. This amendment resulted in the withdrawal from the program by ACBA and also caused some delay in submission. For the year 2016, all five PFIs have submitted the required audit reports. For 2017, two of the five PFIs are still in the process of complying with this requirement."
1,Additional assistance. It is imperative that international development partners remain committed to providing additional financial assistance for strengthening the WSS institutional and legal framework.
0,"The sensitivity of the with project base case results to changes in assumptions regarding maintenance and also to broad changes in key assumptions has been tested. Major assumptions that would affect the outcome are the capital and maintenance costs, generated traffic and growth rates. The results of the sensitivity tests on the two roads are presented below."
0,"However, the government decided to discontinue the DNFE without the alternative executing agency in place, leading to a loan suspension of more than 2 years and cancellation of $10 million DFID grant. The newly established BNFE was weak on financial management at the beginning and slow in liquidating the imprest account. Substantial audit findings also point to weak financial management. Although the project was physically completed in June 2013, liquidation could not be completed until June 2017, 4 years after the project’s physical completion. There also remain one audit finding to be settled."
1,"A strong project steering committee with close coordination across relevant local  government agencies is essential for smooth project implementation. The project structure—with  multiple subcomponents in scattered locations and a multi-layer project administrative structure— required strong leadership of the project leading group, which served to guide project  implementation."
0,"LBDCIS: In the command area, wheat is grown at highest cropping intensity during Rabi followed by cotton in Kharif. High percentage of area is also under forages due to comparatively higher number of livestock heads per household and industrial units of livestock in the area. Other crops with high intensity are maize, rice fodders. In part of the command area, Spring Maize-Rice- Potato or Spring Maize-Autumn Maize-Potato farming system results in a high cropping intensity. The increased agriculture production through the project is a function of increased crop areas and improved yields."
0,"Access to Agricultural Inputs and Technology: A total of 13,841 women (18.8%) out of 73,625 farmers received 1,981 tons of rice seeds, 7,702 tons of fertilizer. Additional financing delivered the following key results related to targets:"
0,The project promoted strategic changes in gender relations and women’s empowerment in many aspects:
1,"Provision of scholarships for ethnic minority students (male and female) in teachers’ training colleges helped improve the quality of ethnic minority teachers since they have an understanding of their own minority languages and cultures. They also become role models for ethnic minority youth. However, the government must ensure there are jobs available for the newly certified teachers in schools of the teachers’ ethnic group."
0,"Against this backdrop, the Post-literacy and Continuing Education (PLCE) project was approved in 2001. The project aimed to engage 210 NGOs to train an estimated 1.7 million learners (at least 50% of the beneficiaries being women), providing them with opportunities to directly apply new literacy skills, and preparing them for income-generating activities. Building upon the experiences in earlier literacy programs, the project promoted a new approach to NFE, which comprises both literacy and skills training by partnering with NGOs under a unified framework, to better prepare the program participants for income-generating activities."
1,"The project was completed without cost overrun and achieved its outputs in 6 years. The main contributing factors were (i) strong government commitment; (ii) well-designed core subprojects, including their demonstration impact to subsequent subprojects; (iii) suitable scope of the subproject and efficient preparation; and (iv) timely counterpart funding from local government."
0,"Subsidized Sales of Quality Seed and Fertilizer. The sale of quality seed and fertilizer at affordable prices was designed to promote the use of quality seeds (rice, vegetable and other crops) and fertilizers to enable reliable increase in yields. The project carried out the subsidized sale of seed and fertilizers over 4 seasons (i.e., wet and dry seasons of 2013 and 2014) to ID poor/small farmers owning or leasing less than 1 ha of cultivable land. 3 The project sold rice seed of non-aromatic photo insensitive varieties (IR66 and Chulsa) in 2013 while mostly aromatic varieties (Pka Rumduol and Saen Krob) were sold in 2014. The required non-aromatic rice seeds were mostly produced through the quality seed production activity, whereas the aromatic rice seeds were procured from the AQIP commercial seed company. All the required vegetable and other crops’ seed needed (i.e., eggplant, tomato, string bean, amaranthus, sweet corn, glutinous corn, cucumber and pumpkin) were met through the quality seed production activity."
1,The introduction of mortgage market mechanisms provides an important opportunity to reconsider existing interest rate and tax subsidies of existing government-supported housing programs towards improved targeting of subsidies to low-income households and permit increased leverage of scarce fiscal resources to build a larger mortgage market.
1,"Environment. To monitor wildlife movement, monitoring cameras were installed in select wildlife underpasses. The monitoring report prepared by an ADB staff consultant in February 2017 revealed that human presence and obstructions near the underpasses reduced use by target species. The project noted the importance of government support facilities such as immigration and forestry check posts, and anti-poaching camps and patrol, especially near the border, to help address wildlife and security concerns. ADB allocated resources to replace lost and damaged cameras and engaged a consultant to continue monitoring the underpasses to provide important information on wildlife use of underpasses in South Asia, where such information is currently lacking. The importance of incorporating climate impacts in road design was also apparent. Lessons learned from this project greatly contributed to the climate resilience guidelines drafted by the DOR to mainstream climate adaptation in road projects."
1,"Covenants. In future projects, ADB should retain only critical loan covenants. Covenants related to TDF’s submission of APFSs that apply to other ADB projects should be relaxed and replaced with a status on the use of loan proceeds.38 When an entity issues loans or operates a revolving fund, it is important that ADB funds are duly captured in the audited entity financial statements as these funds may have a financial impact on the entity beyond the life of the project."
0,"During and after implementation, ADB found the project design relevant to the government’s objectives and policies and ADB’s country strategy (paras. –). At completion, a total of 55 km of expressway was constructed (para. ), which has significantly improved the connectivity and transport conditions in the project areas and the Greater Mekong Subregion. The project generated substantial socioeconomic impact during and after implementation (para. ) and, at completion, effectively contributed to meeting the government’s objectives and ADB’s country strategy as envisaged (Appendix 1)."
0,"The project's output has been achieved and is operational. As BT owns and operates the  new 220 kV and 500 kV GIS financed by the project, it is recommended to assess the O&M  capacity of BT under ongoing and future energy projects,48 and include appropriate covenants in  the legal agreements of future projects."
0,"At completion, local authorities recorded no residual environmental impact and people living along the project sites had submitted nor voiced complaints. Previous ADB missions and the project completion review mission identified no significant environmental issues. The completed sites were approved by the government’s inspection committee which assessed all parameters including environmental protection measures as compliant, a prerequisite for full acceptance by the authorities."
0,"The economic analysis at appraisal reported an economic internal rate of return (EIRR) of 34.3%. The sensitivity analysis was conducted for the following cases: (i) when no indirect benefits are included; (ii) when the project benefits are reduced by 20%; (iii) when the project cost increases by 20%; and (iv) when the above cases (ii) and (iii) are combined. For all the cases, the EIRR recorded well above the discount rate of 12%, ranging from 31.9% (case (i)), and 22.7%(case (iv)."
0,"Since the figures of the costs disaggregated into the three categories envisaged at appraisal are not available upon completion of the project, the economic analysis at completion considers the economic costs as converted from the actual amount of financial costs, which are shown by financier in Table A8.1 . Table A8.1: Project Costs at Completion ($’000) b Inclusive of one year operation and maintenance costs. Source: Asian Development Bank."
0,"Health and education. Provision of adequate health and safety is a contract requirement that is also underpinned by legal regulation as set out in the Ministry of Labor and Human Resources – “General Rules and Regulations on Occupational Health and Safety in Construction, Manufacturing and Service Industries–2006.” The regulations, inspection and enforcement procedures set out useful lists of required personal protective equipment for various types of working activities. The document specifically covers workers’ welfare issues (such as provision of washing/toilet facilities, living quarters, safe water supply, etc.). Worker’s compensation has also"
0,"The PBL did not trigger safeguard actions and was categorized C for environment, involuntary resettlement, and indigenous peoples. The FIL was categorized as financial intermediation for environment and financial intermediation-C with respect to involuntary resettlement and indigenous people. Subprojects categorized A for environment and indigenous peoples or having involuntary resettlement impacts were not eligible for financing under the program. Activities included in ADB’s Prohibited Investment Activities List were excluded.16"
0,"Resettlement assistances and other support payment. During irrigation canals subproject preparation, the CPO and local authorities made efforts to minimize resettlement impacts for affected households by interviewing the affected people and adjusting pump house location and canal alignments. As a result, only three subprojects caused resettlement impacts: (i) Doan Thuong subproject with nine affected households (four households received cash for self-resettlement, one household moved to a new residential area near their old house, and four households rebuilt houses in remaining land); (ii) Chua Tong subproject with one household that received cash for self-resettlement; and (iii) Nghi Xuyen subproject with four households that received money for self-resettlement in a nearby resettlement site. External consultants found that the relocated households’ lives are stable. Their new houses are better than their previous houses. By the time of project completion, all severely affected households and vulnerable households received the required support in accordance with the policy and the details outlined in the approved resettlement framework and resettlement plans."
1,"This section summarizes the results of both the main economic evaluation and the sensitivity analysis. Each sub-project component completed was compared to the ‘without project’ situation, using the discounted cash flow technique and economic opportunity costs"
1,Timing of the project performance evaluation report. The project performance evaluation report may be prepared in 2019. Table A5.3: Small Industries Development Bank of India Consolidated Balance Sheet Table A5.4: Small Industries Development Bank of India Consolidated Profit & Loss Table A5.5: Small Industries Development Bank of India Consolidated Cash Flow Statement
0,The original covenant on asset quality (ratio of nonperforming loans {NPLs} to total loans of not greater than 6%) was replaced with the ratio of net NPLs to regulatory capital of not more than 25%. This provided better estimate on the impact of the growth of NPLs on the PFI’s sustainability.
0,"The creation of a decentralized farmers management structure has provided an opportunity to remove binding constraints and test alternative mechanisms in water service delivery, local capacities and social norms in transformational engagement, evaluate alternative options for water service delivery and make a course correction. The momentum for streamlining institutional reforms in irrigation management was created in partnership with the government and development partners. The program delivered the upgraded flood capacity of the Khanki Barrage and the designs for the Trimmu and Panjnad barrages, currently under construction as of 2018. In line with the ADB result framework, the program improved land through irrigation services, and drainage and flood management in an area of 3 million hectares, benefitting 1.2 million farming families and some 8.8 million people, the majority of whom are farmers with limited income from small landholdings and subsistence farming. The program benefits 36% of Punjab’s irrigated area and 16% of Pakistan Indus Basin’s irrigated area. The cropping intensity and farm incomes have increased in the program area from 5% to 7% and 15% to 40% depending on the projects’ baselines."
1,Other good fund management practice adopted in the project was the use of investment income gains from Australian financing in meeting ADB’s administration fee and bank charges (footnote 9). This assisted disbursing all grant financing for eligible contract payments and reduced the level of actual financing gap.
0,"The contractors implemented all measures required in the contracts. MPRDC worked closely with the construction supervision consultants in monitoring the environmental impacts and implementing the environmental management plans (EMPs). A grievance redress mechanism was established and several workshops on compliance with environmental safeguards were conducted. During the ADB inception mission, MPRDC confirmed that all environmental and forest clearances for the project had been obtained from the statutory authorities and thus no implementation delays would be caused by those. Upon request from ADB missions, institutional arrangements and environmental safeguard compliance were further strengthened. Upon completion, 1,599 trees were saved and compensatory reforestation achieved 1:15.7 as against 1:7 targeted for achieving the green highway status.8,18 During implementation, no complaint was received by MPRDC from the public. Nine environmental monitoring reports were prepared and submitted to ADB, which are disclosed on the ADB website.19"
0,"It is recommended that the project receive closer and more regular ADB gender specialist’s support in monitoring and support on GEMS implementation. This may help stakeholders understand their roles and responsibilities in delivering GAP, clarify unclear GAP target and actions, and help the project to achieve successful GEMS implementation at a higher level (more actions and targets achieved with higher percentage and greater attention to be paid to ethnic minority contents during implementation) since the project has high potential in promoting gender and ethnic minority equity results in GEMS design; and"
0,"MARD’s and the CPO’s performance was satisfactory. MARD and the CPO have extensive experience in preparing and implementing official development assistance (ODA) projects including ADB financed projects. The CPO has around 70 staff, including contractors and permanent office, and specializes in irrigation. Its key staff are full time and dedicated to project implementation. Staff of the PPMUs and IMCs were also capable and had suitable technical and project management experience. The CPO was able to recover from delays during the first two years and completed all activities by the original closing date. MARD delegated project implementation authority sensibly to DARDs and spread ownership evenly among the executing and implementing agencies. Counterpart funding was adequately allocated. Liquidation of contracts was timely and adequate. MARD complied with ADB’s procurement, safeguards, financial management, and gender policies. The borrower complied with all covenants. The performance of the borrower and executing agency are rated satisfactory. 22	It was advised that about D5 billion–D6 billion (about $260,000) is needed for the new campus annual O&M."
1,"Improved teachers’ classroom skills helped teachers address issues (including gender issues) in multicultural and multilingual classrooms, which benefited young boys and girls and ethnic minorities."
0,"Agriculture is central to economic growth in Punjab and the incomes of poor rural households. Punjab’s irrigated agriculture, covering 8.4 million hectares, accounts for more than 26% of provincial gross domestic product and 66% of national agriculture gross domestic product, employs more than 40% of its labor force, and uses more than 90% of the water resources.1 Thirteen barrages divert water through 24 canals system.2 The replacement cost for Punjab’s irrigation infrastructure, including barrages and conveyance network, is estimated at PRs1,600 billion (footnote 1). The Punjab Irrigation Department (PID) initiated vital hydraulic structures studies in 1998, and prioritized the rehabilitation of six barrages.3 Increasing irrigation demand in Punjab canal command areas is a result of increased cropping, population, and farm fragmentation. Stagnant irrigation supplies are augmented by increased groundwater mining. Improvement in irrigation service delivery, better institutions and beneficiary farmers’ involvement were part of reforms carried out in the late 1990s."
0,The SDR disbursement figure is based on the US dollar amount at the time of disbursement.
0,"Involuntary resettlement and indigenous people. Five separate short resettlement plans were prepared to mitigate and address all impacts and losses, based on ADB’s Involuntary Resettlement Policy (1995) and the government’s Land Act 1979 (amended in 2007). All resettlement plans were disclosed in 2011. Two social monitoring reports detailing the progress and outcomes of the land acquisition process were disclosed on the ADB website. A total of 412 households were expected to be affected by the acquisition of 243.83 acres of private land. The DOR also anticipated impacts on structures (77), trees and crops, and community structures such as irrigation channels, water pipelines, and religious structures. The entitlement matrix of the resettlement plans detailed the compensation rates for the loss of land, structures, trees and crops, shifting and vulnerability assistances, and other income restoration assistance measures. The project did not impact any indigenous people or community; the resettlement plans made additional provisions for affected peoples belonging to vulnerable groups. The budget estimated for compensation and resettlement assistance was Nu57,917,544 ($852,546)."
0,"Future monitoring. For the remaining portions of the Hongling Road Component, it is  important to continue monitoring the implementation of remaining safeguard actions and the  completion of civil works at least 2 years after circulation of the project completion report. As a  result, semiannual monitoring reports will be submitted to ADB. After this, the project will not  require any specific follow-up action by ADB."
1,"Priority may be given to gender actions that yield tangible results for women, such as improving health services delivery in a gender perspective."
0,"the upgrading of one teaching institutions in terms of (a) the quality of academic and administrative staff, (b) equipment and laboratories, and (c) opportunities for women, ethnic minority, and rural healthcare students and workers; and, (iii) the development of pilot projects on managing service delivery in district hospitals."
0,"ADB’s performance is rated less than satisfactory. The project design and formulation at appraisal had several serious deficiencies including the absence of workable institutional arrangements for operating and maintaining the regional network, the lack of a continuous coordination mechanism for project activities across the countries, inadequate considerations for complexities, and the short lead time for procurement. They resulted in significant delays and under achievement of the outputs. Also, ADB did not fully understand the bilateral arrangements between the participating countries and their service agencies. Nor did ADB respond to the rapid advancement in the SASEC countries’ ICT sector, such as Bhutan’s abandonment of VSAT for internet connection in 2016, by making changes to the design, institutional arrangements, or performance targets in the DMF. Such changes would have resulted in more effective and efficient use of the loan and grants. However, ADB extended its assistance to the SASEC countries in implementing the first ever regional ICT project and provided extensive support for coordination among the various stakeholders including the executing agencies, PMCs, service agencies, and RTCs through meetings, workshops, and missions from HQ and resident missions."
0,inclusion of a minimum of 30% women in farmer organization (FO)3 management and 50% women in Self-Help Group (SHG)/FO membership as a prerequisite for FO registration;
0,"AFD collaborated closely with ADB and MARD to prepare the project and remained closely involved in project implementation for its duration. AFD staff participated in most ADB review missions and cooperated closely with ADB staff, the CPO, and PPMUs to effectively solve identified issues. Activities financed by AFD were successfully completed by 30 April 2018."
1,Investment in regional essential for health security. The ability of communicable diseases to cross international boundaries and affect large number of people demands a
0,"For the project approach to work there needed to be a phased and planned investment in the other sub-zones within a zone, as a limited number of consumers receiving a high-quality service caused local social and political issues. As a result, the water valves from the tertiary network were opened to provide a better water service to surrounding areas, which reduced service in the target area, and caused the loss of many of the initial project benefits. This issue combined with the lack of institutional reform, the poor utility service provision, limited  operations and maintenance, and lack of ongoing monitoring of performance resulted in high non-revenue losses, and declining consumer payment and revenues."
1,Suitable arrangement should be made to ensure implementation; sensitization and motivation of project management unit staff at during project preparation.
1,"Success in promoting PPPs was partially attributable to close coordination with other development partners, namely the World Bank, the International Finance Corporation, and KfW (para. 37). Continued close coordination to increase synergies with other development partners in implementing policy-based programs is recommended."
1,"The program demonstrated the value addition of the SDP modality in supporting a government-led reform agenda, where operationalizing reforms requires policy and regulatory actions coupled with stimulus from targeted investments. Drawing on its successful experience implementing the program, the MOH has elected to pursue an SDP modality to deliver its reform agenda for the local health care system (footnote 27)."
0,"The fiscal year (FY) of the Government of India ends on 31 March. “FY” before a calendar year denotes the year in which the fiscal year ends, e.g., FY2019 ends on 31 March 2019. In this report, ""$"" refers to United State dollars. Maturity (number of years) Grace period (years) Terms of Relending (if any) 2736 (ordinary capital resources) Madhya Pradesh State Roads Project III India Original: $300 million 2736 London interbank offered rate (LIBOR)-based 0.15% London interbank offered rate (LIBOR)-based 0.15% Maturity (number of years) Grace period (years)"
0,"The project 1 design under ADB’s $1.5 million component technical assistance was sound and supported GOR in capacity development and ensured a high level of project readiness that aided initial implementation. The technical assistance was part of a $15.0 million technical assistance cluster, fully funded by the Government of the United Kingdom. 18 The technical assistance delivered its intended outcomes—improving project implementation readiness, strengthening local capacity and ownership, and enhancing the efficiency of implementation. The overall rating of the technical assistance cluster was successful.19"
0,"This subcomponent introduced the system rice intensification (SRI) approach to increase yield and reduce water consumption.14 Activities under this subcomponent benefited 3,000 ha of 13 The canal capacity before rehabilitation was 16 m3/s. rice fields (650 ha in Bandung District; 1,000 ha in Subang District; and 1,350 ha in Karawang District). The MOA implemented this subcomponent from 2009 to 2011, through the district agriculture agencies, as envisaged during appraisal. The introduction of SRI reduced water utilization for agriculture (by 38% based on secondary data) and increased yields up to 36% through organic agricultural practices. SRI activities benefited 26,000 rice farmers and increased the farmers’ incomes because of higher yields and lower cost of fertilizer. The availability of organic fertilizer was secured by providing the farmers with cows. In 2015 and 2016, MOA implemented upland management activities in the CRB. Those activities have been financed with savings from the SRI activities and covered 160 ha of agricultural land. The focus was on sustainable agricultural practices for watershed management and land conservation. In 2015, it was initiated with funding from the government and continued in 2016 using a loan for four farmer groups in Bandung and West Bandung districts. The activities included land terracing, planting hard vegetation for intercropping, composting, and small reservoir construction."
0,"Awareness levels about health care and nutritional issues increased significantly among the families of participants, and they were less prone to health hazards;"
0,"Overall the project is rated successful. The project is relevant to both the Government of India’s development objectives and ADB’s country partnership strategy. The project was designed well and implemented without any major change in scope. The project is rated highly effective in achieving its outcomes. The project’s outputs and outcomes demonstrate that it was an effective intervention that substantially improved the transport efficiency of the state highway network, as well as enhanced MPRDC’s operational capacity in road development and management including road safety. The project is rated efficient in achieving its outcomes and outputs. The recalculated EIRR was robust and indicated that the project continues to be economically viable, although lower than expected during appraisal. At completion, the project had substantially improved connectivity and brought significant socioeconomic benefits to the project area. These benefits are expected to continue as the project is rated likely sustainable by considering the institutional and financial arrangements for road maintenance, road safety management, and fast growing traffic. ADB = Asian Development Bank.	Source: Asian Development Bank."
1,"In cases where project consultants are not required, ADB needs to provide close support to the executing agency and fully apprise senior level managers of ADB procedures and systems so that operational staff will be provided approval and funding to recruit consultants and incorporate related requirements and costs in the cost estimates, bills, and quantity and contracts."
0,"PBL and FIL disbursements were conducted in accordance with ADB’s Loan Disbursement Handbook (2012, as amended from time to time)."
0,"MEF executed the project and established a CPMU led by a project director, with overall guidance provided by the National Food Security Task Force. MEF also established provincial project management units (PPMUs) in all 7 provinces targeted by the project and in 10 provinces covered by the additional financing. Technical support units were established within the implementing ministries and institutions (i.e., Ministry of Rural Development, Ministry of Water Resources and Meteorology, MAFF, Ministry of Education, Youth and Sport, Ministry of Women’s Affairs, Ministry of Commerce; the NCDM; and CARD).28 Provincial technical support units of the corresponding ministries were likewise established in target provinces. The project engaged WFP to implement the FFW scheme and school feeding program, and employed two NGOs—Cambodian Center for Study and Development in Agriculture (CEDAC), and Buddhism for Development—to monitor the distribution of free rice. Under the additional financing, Plan International provided services for the implementation of nutrition, health, sanitation, and diversified livelihoods training activities."
0,"In actuality, cropping intensity has remained stagnant throughout the period. However, in view of the declining trend in water inflow between 2007 and 2010 (Table 4), it can be expected that cropping intensity could have been reduced from the 1.70 level in the project’s absence. This analysis takes the appraisal analysis assumption that cropping intensity would reduce to 6 Paras. 135 and 137 of appraisal EFA report read: “The average water rate for Jakarta can be raised to Rp8,000/m3… [F] or investors requiring a 20% return on their investment (14% for cost of funds and 6% for profit) will require the tariff rate to be set at Rp7,300/m3. If raw water cost is viewed as the residual cost, then the water tariff has to be set above this price of Rp7,300/m3. With a price of Rp8,000/m3, then the investors will be willing to pay Rp700/m3 for raw water.” 7 As a rule of thumb, the willingness to pay for water is measured at 10-15% above the tariff."
1,"The participation of female teachers and female managers in management training is promoted. At least 8 training courses on management and leadership skills were provided to teachers and school managers. A total of 192 participants have been trained. Of which, 57 trained participants are females (equal to 29.7% of total participants). In addition, gender mainstreaming issue was included as one topic for this training course to promote female leadership to 30.3% (the school year 2016–17)."
1,Provide payment services to customer and participate in the payment system at home and abroad serving for all the activities of VDB as regulated by law.
0,"Under the formation and strengthening of Self Help Groups, support was provided to 401 existing and/or established SHGs to strengthen the collective capacities of smallholder farmers to increase production, improve marketing, manage risks and integrate disaster risk management. All the SHGs had developed by-laws and organization structures, and had been given recognition from relevant government departments. Around 73% of the SHGs existed before project implementation and were linked with the project. The SHGs consisted of 11,536 members, of whom 7,483 (64.9%) were women and 4,639 (40.2%) were ID Poor. There were 1,421 SHG committee members, out of whom 792 (55.7%) were female. Most SHGs selected for the project had already high levels of female participation, especially in the management committees. The capacity building conducted during the project further increased their participation."
1,"Adoption of technology has increased the project quality. The use of technologies such as the Java Spatial Model, river basin water balance model, and flood hydrodynamic model greatly benefited the preparation of IWRM plans. The implementation of the river basin plan (road map, Pola, and Rencana) will need further integration with the regional development plan; the modeling and simulation tools could support this process."
1,"Female research workers and extension staff, as well as research leaders who benefited from the research contracts awarded by the project, have gained substantial capacity."
0,"Effectivity of arch bridges as animal underpasses. During the impact assessment, Asian elephant crossings or underpasses along NH-02 and NH-05 roads were identified. These crossings followed water streams that immediately led to thickly vegetated section coming from the relatively flat lands of bordering India. To facilitate wildlife crossing, more particularly elephants, the project introduced the construction of multiple corrugated galvanized steel arch bridges with sufficient openness ratio to allow elephant passage along streams and rivers. The project monitored the movement of elephants before, during, and immediately after the construction of these arch bridges on three points: at Pagli, Khurul east and Khurul west in NH- Table A14.1: Asian Elephant Monitoring Records Note: By total records at each UP and calculated as records/month. Source: Asian Development Bank."
0,"Provincial AOPs include CDC targets with special attention to border villages, cross-border collaboration, gender and ethnic groups, and in-service training; Achieved: 100% PPMUs developed plans and implemented project activities following PMU’s instruction to meet project targets. Contents on GAP were included in CDC training programs and HRD plans included in AOPs."
0,"At appraisal, the project’s intended outputs were (i) rehabilitation and upgrading of about 1,080 kilometers (km) of state highways identified under the state road rehabilitation program, and (ii) improvement in the road safety management capacity of Madhya Pradesh Road Development Corporation (MPRDC). The project would provide (i) consulting services to support implementation of the civil works, and (ii) equipment necessary for MPRDC to enhance road safety. The total investment cost was estimated at $375 million, which was to be financed by the ADB loan of $300 million (80% of total project cost) and counterpart funds of $75 million equivalent (20%) from the government of Madhya Pradesh. It was anticipated that the project would bring substantial economic benefits and lead to socioeconomic development in the state, including improved access to socioeconomic services, better employment opportunities, and improved transport services. In turn, this would help reduce poverty in the region and stimulate economic growth and human development in Madhya Pradesh. The economic internal rate of return of the project was estimated at 18.3%–45.5% for the candidate state roads. The executing agency for the project, which would be implemented over 3 years, would be the government of Madhya Pradesh acting through MPRDC."
0,"As at appraisal, the main sources of economic benefits were (i) savings in vehicle operation costs (VOCs) and (ii) savings in passenger travel time costs. The project supervision consultants calculated the unit VOCs, using 2017 prices. The VOC savings per vehicle-km by comparing the “with-project” and “without-project” cases were estimated at $0.07 for cars, $0.13 for medium buses, $0.15 for light trucks, and $0.65 for truck trailers. Average passenger vehicle speeds were assumed to be 80–90 km per hour for the “with-project” case and 20–25 km per hour for the “without-project” case. The passengers’ travel time cost savings were recalculated by different types of passenger vehicles for working and nonworking time values, with the nonworking values calculated as 30% of working values. The unit passenger time cost is derived from the national average gross domestic product per capita.2 The unit truck driver time cost is based on the average salary of transport workers drawn from national statistical data. Other factors taken into account in the calculation for passenger time cost savings include average vehicle loads, percentage of work-related trips, time costs by different road users, and travel speeds for different types of passenger vehicles and trucks. For generated traffic, half of the benefits were considered. The benefit calculation results showed that the VOC savings were about 69.2% of the total benefits in 2016, but the passenger time-cost benefits increased along with socioeconomic development and income growth and would reach 51.8% of the total benefits in 2035."
1,Timing of the project performance evaluation report. ADB’s Independent Evaluation Department can prepare the project performance evaluation report after two years to evaluate the results of the policy reforms in Hebei Province.
0,"The design of the program and the specific activities within it were based on evaluation missions which assessed the (i) role played by small businesses, including women’s businesses, in driving economic growth; and (ii) constraints preventing growth in women’s entrepreneurship. This assessment helped to propose an integrated approach to address liquidity and non-liquidity barriers to the development of women’s entrepreneurship through a combination of PBL and FIL. Extensive consultations with key stakeholders—the Government of Armenia, commercial banks, microfinance institutions, development partners, and business associations, were integral to the project design."
1,"Coordination and phasing of all critical linked project activities is required to achieve the project benefits. Similarly, when having a linked capacity development TA, the TA needs to be undertaken concurrently to be effective and ensure an efficient use of resources."
1,"The economic analysis was based on updated information from the (i) updated engineering, environmental, social, financial and other details collected on project completion; and (ii) the updated economic evaluation parameters relevant to the project towns gathered from secondary sources and discussions with stakeholders. Data collected were in the following areas:"
0,"The improvements in (i) teacher quality through training, and (ii) upgrades to equipment and laboratories represent increases in the quality of student medical education. While difficult to quantify, these quality improvements have direct economic effects. In much the same way that measures of inflation such as the U.S. Consumer Price Index (CPI) make moderating adjustments for improvements in the quality of goods and services when measuring inflation (i.e., a hedonic quality adjustment),5 the higher quality of education provided to students for their tuition payments implies additional economic value created by the project."
0,"The project established a credit line for three private vocational colleges, which they used to construct new facilities. However, the project closed before construction in one of the colleges was completed. The credit line was also to be used to purchase new training equipment for the new facilities, but none of the three colleges managed to begin procurement procedures before the project closed. It should be noted, however, that two of the colleges were able to procure equipment post-project using private-funding sources.15 The total amount disbursed under Loan B was only 62.9% of the approved loan amount.16 16 The loan utilization rates for the private colleges are 38.6% for Bac Nam Vocational College, 72.4% for An Nhat Vinh Vocational College, and 66.2% for Dong An Vocational College. In 2018, An Nhat Vinh Vocational College was renamed to Viet Nam Polytechnic College and Bac Nam Vocational College was renamed to Hanoi Polytechnic Engineering College."
0,"Notwithstanding the difficulty in developing a project economic internal rate of return, additional benefits for several project components were assessed. The improvements in"
0,"Overall, project 1 is rated less than successful. The project was not fully implemented as conceived, as 96 km of roads that were to be constructed were postponed and constructed under the LNG project. The government’s lack of sufficient financing for long-term road maintenance could affect the NRA’s ability to maintain the project roads. However, the government has partially made up for the shortfall with budget appropriations to the DOW through the road user fund. The DMF was suitable. ADB = Asian Development Bank Source: Asian Development Bank"
